query,label
隐藏名字有什么用途？,white
act_target_location,white
act_manual_termination,white
"content：快过年立减金*也扎堆了；businessData：[{""excludeWords"":""宝藏卡,花呗,借呗,关闭&&宝藏,联名卡,满10减2"",""targetWords"":""宝藏特权,积分加倍,180g饲料,分期优惠,随机立减,达标加赠积分,积分满返,绑卡&&宝藏特权,绑卡&&开通失败"",""businessName"":""宝藏特权""},{""excludeWords"":""花呗,借呗,宝藏卡,绑卡,发卡,积分"",""targetWords"":""内容&&我支道,为你精选&&信用卡,信用卡生活&&封面"",""businessName"":""内容社区""},{""targetWords"":""机构切换,极简版&&机构切换"",""businessName"":""联名卡/标卡二合一-机构切换""},{""excludeWords"":""花呗,借呗"",""targetWords"":""猫超,猫超&&红包,淘宝&&申卡,天猫&&红包,猫超权益"",""businessName"":""猫超申卡链路""},{""excludeWords"":""花呗,借呗,信用购,分期,误点,误触,消息推送不全,消息过多打扰,红包失效"",""targetWords"":""信用卡&&注销,信用卡&&不用,信用卡&&冻结,信用卡&&停用,信用卡&&作废,信用卡&&消卡,信用卡&&无欠款,信用卡&&已还清,信用卡&&销卡"",""businessName"":""无效触达舆情""},{""excludeWords"":""花呗,借呗,误触,误碰,误点,分期"",""targetWords"":""信用卡&&消息,信用卡&&提醒,信用卡&&信息,提醒还款"",""businessName"":""信用卡触达""},{""excludeWords"":""花呗,借呗,支付"",""targetWords"":""信用卡&&分期,账单分期"",""businessName"":""信用卡账单分期""},{""excludeWords"":""花呗,借呗,1000-50,300-15,3000-100,满1000&&50,满300&&15,满3000&&100,宝藏"",""targetWords"":""分期免息,分期设首,信用卡分期,戳气球,信用卡分期立减,免息,折扣,分期折扣,卡分期,分期开通"",""businessName"":""商品分期""},{""excludeWords"":""花呗"",""targetWords"":""固额,额度管家,临时额度&&信用卡,额度提升&&信用卡"",""businessName"":""额度提升一期""},{""excludeWords"":""花呗,借呗,满1000&&50,满3000&&100,满300&&15,宝藏"",""targetWords"":""信用卡分期免息,分期免息,信用卡分期支付红包,分期&&立减"",""businessName"":""商品分期""},{""excludeWords"":""花呗,借呗"",""targetWords"":""返现,返利,返利金,返现卡,返利卡,不能提现,提现失败,领取失败"",""businessName"":""笔笔返现卡项目""},{""excludeWords"":""花呗,借呗"",""targetWords"":""信用卡&&省心还,省心还,省心还小荷包"",""businessName"":""省心还""},{""excludeWords"":""花呗,借呗,还款"",""targetWords"":""信用卡&&积分,加分计划,积分抵扣,积分阵地,信用卡积分,赚积分,花积分,支付积分加倍,支付可抵扣,积分满返,积分兑换"",""businessName"":""信用卡积分""},{""excludeWords"":""储蓄卡,花呗,借呗,满&减,办卡,宝藏"",""targetWords"":""信用卡&&绑卡,绑定&&信用卡,绑&&信用卡,绑&卡,6.08,绑卡&&任务,绑定&&银行,支付宝&&绑卡"",""businessName"":""信用卡绑卡""},{""targetWords"":""信用卡免息期,免息期设置,计算免息期"",""businessName"":""信用卡免息期""},{""targetWords"":""消费账本,信用卡消费记录,理想金额,月消费对比"",""businessName"":""信用卡消费账本""},{""targetWords"":""更多优惠,信用卡支付红包,浦发信用卡支付红包"",""businessName"":""优惠阵地""},{""excludeWords"":""非本人卡,不是我的卡,信用卡已注销,不是我的信用卡,恶意营销,未开通&信用卡,不是&本人,信用卡&没用,信用卡&未开通,花呗,借呗"",""targetWords"":""信用卡免还额度,信用卡免费额度,信用卡额度,免还额度,免费额度,免还额度&未领取,免还额度&领取,免还额度&领取入口,信用卡&&免还额度,信用卡&&免费额度"",""businessName"":""免还额度""},{""excludeWords"":""信用购,花呗,宝藏特惠卡,借呗,还款,还信用卡"",""targetWords"":""宝藏卡,宝藏信用卡,联名卡,亲情卡,预约激活,预约申卡,宝藏联名卡,宝藏联名信用卡,满10减2,满十减二,激活,蚂蚁&宝藏信用,办卡,发卡"",""businessName"":""宝藏卡""},{""excludeWords"":""非本人卡,不是我的卡,信用卡已注销,不是我的信用卡,信用卡&&已还,恶意营销,没有&&信用卡,不是&&我的,未开通&&信用卡,不是&&本人,信用卡&&非本人,信用卡&&未开通,信用卡&&不是,协商,还错&&卡号,信用购,花呗,达成一致：y,还错卡,信用贷,没有信用卡,宝藏卡,办卡,绑卡,绑定信用卡,信用卡&&绑卡,添加&&信用卡,分期,骗子,诚信,骗钱,早就,卡&&注销,没用过&&卡,虚假订单,诈骗,刷单,赌博,退给我"",""targetWords"":""信用卡还,信用卡还不了,信用卡还款记录,信用卡到账,信用卡账单,信用卡还款,信用卡&&还款,卡&&还款,卡&&账单,信用卡&&查账,信用卡&&查帐,数币&&还款,数字人民币&&还款,数字人民币&&开通,数币&开通"",""businessName"":""信用卡还款""}]",white
页面信息：搜索Q门诊险开门红送福利啦数量有限先到先得去看看·签到领安心豆兑红包去签到我的保单专属服务1份8项>*浩已保医疗?保障分析检测到你的保障程度为“部分保障”年龄地区建议关注查看分析30岁上海意外保障开门红车险健康意外养老金储蓄型少儿车险报价10+大牌保险公司入驻算一算今年车险多少钱V根据爱车信息精准测算v轻松在线查秒出结果试算保费田首页产品自选我的。风险指令：需要你来判断页面是否存在费率/利率数字超过25.00%的现象，费率/利率通常展示XX.XX%百分比形式。当页面出现账单、进度、健康度、理想账单、规划还款、金额环比时，可能出数字百分比超过25%，不要识别为利率超过盖帽或不合法。若存在风险返回haveRisked:true，否则返回按照haveRisked:false。,white
"bash find #include ""xxxx.h"" 并且第二行是/**",white
"下面是一个输入给一个大模型的prompt，请对其进行优化，使修改后的prompt判断类别更精准：

""""""
    参考【历史对话】，判断【当前回复】属于哪个类别：
    - 安抚用户：对极端情绪和不耐烦情绪的安抚；
    - 业务解答：借助内部查询工具，查询账户信息、查询产品信息、咨询产品规则、诉求解法方案、涉及具体日期(天数/期限)和金额(如100元)，或说明不是我方负责，不能判断是否属于业务时，优先判断为业务解答；
    - 明确用户需求：包括模糊问题澄清、搜集需求、引导描述、追问、让用户补充描述等;
    - 通用问答：不涉及业务知识，不超出客服身份的通用问答， 如日常问候、请稍等、正在核实、帮您查询/看一下，衔接语句；
    - 拒绝回答：超出客服身份、超出能力范围，无法回答，如，天气、评价外界人或事物、专业学科；
    - 问题完结：当用户问题被满足时，礼貌性的结束对话
    
    注意优先级：业务解答 > 明确用户需求 > 安抚用户；
    
    【历史对话】
    {texts}

    【当前回复】
    {text}

    请判断【当前回复】属于哪个类别
""""""",white
"[{""用户对理财师说"":""你好。""},{""理财师对用户说"":""你好，请问是陈连荣，陈先生吗？""},{""用户对理财师说"":""你是哪里？""},{""理财师对用户说"":""您好您在支付宝平台的蚂蚁基金理财师刘艳茹。然后给您来电，主要是看到您今天早上有跟我留言，想关注一些就是固收加类的一些产品。所以我这边给您发了几支，您待会儿可以看一下那个支付宝上我给您发的那个消息。""},{""用户对理财师说"":""好的好的好的好的好的。""},{""理财师对用户说"":""另外就是想问一下您哈，因为我是看到您这个好像是呃昨天还是前两天，应该是在咱们平台上。您是买了一支那个基金，后来您就是也撤销了。您是觉得呃收益，您是担心收益不好，还是说有其什么顾虑呢？""},{""用户对理财师说"":""我不需要买基金，我买基金就亏了。""},{""理财师对用户说"":""哦。""},{""理财师对用户说"":""您之前。""},{""用户对理财师说"":""我想买理财。""},{""理财师对用户说"":""您买的那个基金其实就是债券型基金，跟理财它是同一个性质的呀。说的您之前买的那个基金亏，您应该买的是一种股票型基金嘛。""},{""用户对理财师说"":""我不是，我就不知道看到今年人头疼头疼。""},{""理财师对用户说"":""嗯，他那个嗯嗯您那个可能就是有一些误解，您之前买的那个基金，它基金其实分很多种哈，就是有那种就是风险很低的。像您买的那个，您放在那个余额宝，它也是一种基金，它是那种货币型基金。货币型基金的话，它都是历史来说，都是没有出现过回撤的，就是每天都是正收益，但是他那个收益就比较低好一点的，可能就是年化收益有个2%左右。就像余额宝目前的年化收益的话，可能就是1.5%就比较低。""},{""理财师对用户说"":""他余额宝也是一种基金，然后还有一些就是稍微稳健一些的，就是债券型基金。就是买的那个兴证全球恒悦180天，它就是债券型基金。然后他那个近一年的年化收益好像是三个多点。""},{""用户对理财师说"":""嗯。""},{""用户对理财师说"":""嗯。""},{""理财师对用户说"":""相当于您过去一年持有下来，一年下来，有3.8的一是年化收益率。它的风险是比较低的，它也会有波动，但是它那个波动都不大。""},{""用户对理财师说"":""行。""},{""理财师对用户说"":""他那个近一年的一个最大嗯，您然后然后然后我跟您讲一下那个就区别。然后我给您发的那个固收加它是它是混合型的，它就是80%左右的一个底仓，是那种那个。""},{""用户对理财师说"":""那我就把这个。""},{""用户对理财师说"":""行。""},{""用户对理财师说"":""对。""},{""理财师对用户说"":""债券，然后还有20%左右的是股票，所以他那个波动来说会稍微大一点。但是它收益的话可能会比那种纯债的可能会稍微高一点。""},{""用户对理财师说"":""多多少多少呢，多少多多少呢，点多少呢？""},{""理财师对用户说"":""嗯，好的好的，有十几个点的，但是那种波动会比较大哟，而且封闭期会比较久，要有的长得有一年的。所以我觉得您可以就是如果说您没买过这种的话，您可以去就是适当去配置一些。您两个可以就是分开去买一点，然后您到时候您手里一顿下来，您做一个对比嘛。如果说您觉得固收加的，您觉得驰那个收益好的话，到时候您也可以多买一些。""},{""用户对理财师说"":""好的，明白了。好的，我我等会看看。好，谢谢你啊。好。""},{""理财师对用户说"":""嗯。""},{""理财师对用户说"":""反正我给您发了，您待会儿可以看一下。您可以去两个做一个对比，您可以去分开配置一点。后续如果说有什么持仓方面的问题，您就随时在支付宝上给我留言就可以了哈。""},{""用户对理财师说"":""嗯。""},{""用户对理财师说"":""好的。""},{""用户对理财师说"":""好的。""},{""用户对理财师说"":""好的好的，好，谢谢你好好。""},{""理财师对用户说"":""行，好的，那先不打扰您了，再见。""},{""用户对理财师说"":""我这。""},{""用户对理财师说"":""固收发我看看""},{""理财师对用户说"":""您好""},{""理财师对用户说"":""这几只固收您可以重点关注一下""},{""理财师对用户说"":""固收产品通常以债券投资为底搭配部分股票仓位这样的组合配置在追求收益的同时也能控制一定的风险整体上是可攻可守的如果您考虑适当配置这类产品""},{""理财师对用户说"":""这几只是稳健类的基金您也可以参考一下""}]",white
"#目标输出字段
result_temp

#输入字段值
1 temprate = 0.1224


#执行规则
规则1:特定机构限时降价兜底规则1_0 
、、、sql
1 AS result_temp
、、、

规则2:特定机构限时降价兜底规则(非1+1)分支 
、、、sql
CASE WHEN coalesce( original_multi_org_type,'') = 'PF1' THEN  CASE WHEN temprate < 0.054 THEN 0
 ELSE 1 END 
 WHEN coalesce( original_multi_org_type,'') = 'PF2+' THEN  CASE WHEN (coalesce( original_multi_org_codes,'') in ('V_XWBK','V_R9Z_XWBK','V_F51_XWBK','ALILOANCQ,V_XWBK') AND temprate < 0.0792) THEN 0
 WHEN (coalesce( original_multi_org_codes,'') in ('V_DYBK','V_R9Z_DYBK','V_F51_DYBK','ALILOANCQ,V_DYBK') AND temprate < 0.072) THEN 0
 ELSE 1 END 
 ELSE 1 END  AS result_temp
、、、

规则3:特定机构限时降价兜底规则(1+1)分支 
、、、sql
CASE WHEN ((coalesce( plus_multi_org_type,'') is not null AND coalesce( plus_multi_org_codes,'') is not null) AND plus_annual_rate is not null) THEN  CASE WHEN (coalesce( plus_multi_org_type,'') = 'PF1' AND temprate < 0.054) THEN 0
 WHEN ((coalesce( plus_multi_org_type,'') = 'PF2+' AND (((coalesce( plus_multi_org_codes,'') = 'V_XWBK' OR coalesce( plus_multi_org_codes,'') = 'V_R9Z_XWBK') OR coalesce( plus_multi_org_codes,'') = 'V_F51_XWBK') OR coalesce( plus_multi_org_codes,'') = 'ALILOANCQ,V_XWBK')) AND temprate < 0.0792) THEN 0
 WHEN ((coalesce( plus_multi_org_type,'') = 'PF2+' AND (((coalesce( plus_multi_org_codes,'') = 'V_DYBK' OR coalesce( plus_multi_org_codes,'') = 'V_R9Z_DYBK') OR coalesce( plus_multi_org_codes,'') = 'V_F51_DYBK') OR coalesce( plus_multi_org_codes,'') = 'ALILOANCQ,V_DYBK')) AND temprate < 0.072) THEN 0
 END 
 END  AS result_temp
、、、",white
页面信息：中国建设银行75265天后提醒0账单待查询查询账单并还款其他信用卡账单）★消费账本免费还款添加卡信用卡积分更多积分674417兴业银行（9638）88￥11102.65待还金额于次月更新2月3日还款日还款中国工商银行（0305）88￥17717.61分期2月5日还款日还款交通银行（5482）本期无欠款明细下期1月23日出账分期还款中信银行（9328）8本期无欠款分期下期2月8日出账还款中信银行（5101）本期无欠款分期下期2月8日出账还款广发银行（3273）本期无欠款明细下期未出账单￥2979.44下期2月11日出账分期还款中国民生银行（9907）本期已还清明细分期下期1月16日出账还款华夏银行（7752）本期已还清明细下期1月19日出账分期还款浦发银行（3681）本期已还清明细下期1月21日出账分期还款浦发银行（3111）本期已还清明细》下期1月21日出账分期还款交通银行（7588）本期已还清明细》下期1月23日出账分期还款中国邮政储蓄..（3858）本期已还清分期还款下期1月23日出账交通银行（8459）本期已还清明细》下期1月23日出账分期还款中国光大银行（1391）674417积分本期已还清下期2月1日出账分期还款中信银行（9515）本期已还清下期2月8日出账分期还款中国建设银行（1095）短信查账设置还款提醒分期还款中国建设银行（4419）短信查账设置还款提醒分期还款招商银行（7149）+银行生活号查账明细>设置还款提醒还款招商银行（3015）银行生活号查账明细设置还款提醒还款中国建设银行（7526）短信查账1月21日提醒还款分期还款招商银行（7371）银行生活号查账明细>1月28日提醒还款还款交通银行（5934）张小萍设置还款提醒还款招商银行（7027）郑杨设置还款提醒还款招商银行（2715）郑杨设置还款提醒还款。风险指令：需要你识别页面若存在还款天数，是否出现超过常规60天范围。若信用卡4位卡号与金额、天数连在一起，需要拆分卡号和后面数字。4位卡号有时通过｜与后面还款天数分割，｜会错误识别为数字1，需要你自动删除｜识别为的数字1。 若还款金额、天数连在一起，需要拆分还款金额和天数，还款金额保留2位小数，后面是天数。若存在风险返回haveRisked:true，否则返回按照haveRisked:false。,white
"
当前执行步骤规范
【条件判断】暂无【操作】请把以上查询到的信息替换模版中的xxx，模版格式如下<ul><li>告警时间：xxx</li><li>监控项：xxx</li><li>问题类型：xxx</li><li>PID：xxx</li><li>PID名称：xxx</li><li>BD昵称：xxx</li><li>接口：xxx</li><li>产品码或system名称：xxx</li><li>错误码：xxx</li><li>子错误码：xxx</li><li>责任方定位：xxx</li><li>原因解释：xxx</li><li>处理方式：xxx</li></ul>【结论】请按照模版格式打印输出，输出文案只包含<ul>标签及标签内容，不要打印其他字符 
上下文信息
- 告警时间:01-16 18:03,监控项:提现成功率,问题类型:[智能托管]比率下跌,PID:1737021803449,PID名称:GM00006459,接口:[未提供],产品码或system名称:fundbizplatform,错误码:[未提供],BD昵称:查询失败或超时.
- 告警时间:01-16 18:03,监控项:提现成功率,问题类型:[智能托管]比率下跌,PID:1737021803449,PID名称:GM00006459,接口:[未提供],产品码或system名称:fundbizplatform,错误码:[未提供],BD昵称:查询失败或超时.
- 告警时间:01-16 18:03,监控项:提现成功率,问题类型:[智能托管]比率下跌,PID:1737021803449,PID名称:GM00006459,接口:[未提供],产品码或system名称:fundbizplatform,错误码:[未提供],BD昵称:查询失败或超时.
- 告警时间:01-16 18:03,监控项:提现成功率,问题类型:[智能托管]比率下跌,PID:1737021803449,PID名称:GM00006459,接口:[未提供],产品码或system名称:fundbizplatform,错误码:[未提供],BD昵称:查询失败或超时.
",white
